"year","demo.locals1","demo.locals2","demo.locals3","demo.tours1","demo.tours2","demo.tours3","num_locals","num_tours","knowtrans","tours_local","tours_tours","local_local","local_misd","dem1toursK_Mean","dem1localK_Mean","dem2toursK_Mean","dem2localK_Mean","dem3toursK_Mean","dem3localK_Mean","dem1toursK_SE","dem1localK_SE","dem2toursK_SE","dem2localK_SE","dem3toursK_SE","dem3localK_SE"
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.107804586340563,0.501015376086973,0.107306564786056,0.497058805774011,0.107041060995653,0.501748360602678,0.00167978822405472,0.00129587870820436,0.00255077074860565,0.00206573663689046,0.00274652980866706,0.00204821307622541
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.109482852717488,0.502384049082042,0.110863743835338,0.499799572512253,0.110435075719098,0.499957625025178,0.00175555184804233,0.00139940919076383,0.00256450782181615,0.00171393875668924,0.00262302249588558,0.00237884258330338
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.108199809904257,0.499992984983296,0.111141079040698,0.498067009986863,0.108269992113987,0.503504873685693,0.0016365394957081,0.00162638551980614,0.00288460956448103,0.00202250676895632,0.00244555703656957,0.00204082665614495
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.112141067164273,0.502419864988619,0.108219437804275,0.499915131292629,0.112514630636026,0.500385410406588,0.00177625784996728,0.00138166146040895,0.00280431216899382,0.00234625557832204,0.00236427156205393,0.00204781577907118
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.109696436252756,0.500241702680504,0.108726109853241,0.497605022429322,0.103937855845229,0.498443460928752,0.00169171673681606,0.00136866997455178,0.00245375428243474,0.00189597176147679,0.00257783430346146,0.00185659695115683
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.105936194651295,0.498746790460198,0.110973183984548,0.499634921320751,0.111557569719313,0.497674597718246,0.00177513210770051,0.00147668322995178,0.00247204039635031,0.00209079433474685,0.0024666511783966,0.00184122211921136
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.6","0","0","0",0.111321710479358,0.498666928732025,0.109223965068401,0.49963103714039,0.106657241978081,0.497308453245806,0.00173812334180429,0.00119528072680317,0.00226151062291316,0.0018801300904653,0.00264906472785084,0.00202543037051906
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.7","0","0","0",0.106795816159603,0.501570093893353,0.113948765607628,0.500305887396121,0.110139942087492,0.501495625119193,0.00172850092003445,0.00155116423488544,0.00260615579261271,0.00186525819084192,0.00273035657169793,0.00216497360662171
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.8","0","0","0",0.108530212679002,0.500151599991788,0.112899686541494,0.500657352301582,0.112124010551327,0.502108456843072,0.00169210924545849,0.00146417558385009,0.00257893747894806,0.00193415128424961,0.00263679582004916,0.00206150444648918
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.9","0","0","0",0.107878146506,0.50095996463432,0.109242860716759,0.502756943469705,0.104628729444199,0.502805560640692,0.0016756388156924,0.00147029672887153,0.00249119850902638,0.00205532338248098,0.00222859421351792,0.0021222666917017
