"year","demo.locals1","demo.locals2","demo.locals3","demo.tours1","demo.tours2","demo.tours3","num_locals","num_tours","knowtrans","tours_local","tours_tours","local_local","local_misd","dem1toursK_Mean","dem1localK_Mean","dem2toursK_Mean","dem2localK_Mean","dem3toursK_Mean","dem3localK_Mean","dem1toursK_SE","dem1localK_SE","dem2toursK_SE","dem2localK_SE","dem3toursK_SE","dem3localK_SE"
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0","0.1","0","0",0.106753933438907,0.500119100300249,0.108111588940133,0.500908100458587,0.114164424447075,0.499579427221559,0.00185855777774956,0.00133260446271895,0.00245191249831066,0.00194984715553885,0.00245905835720804,0.00210268426096925
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.1","0.1","0","0",0.109744872457194,0.499084140857995,0.107710596372818,0.499606569135799,0.10864986086531,0.498356198412922,0.0016389675828383,0.00133759772699835,0.00224063579080517,0.00183350538976511,0.00229882165081242,0.00201629951888144
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.2","0.1","0","0",0.109478426633346,0.500610725150912,0.109481176719188,0.496726527059041,0.108665211695879,0.499002224053728,0.00176913493746031,0.00140094935138314,0.00267992315507773,0.00218444507175866,0.00238837688223725,0.00221630579630402
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.3","0.1","0","0",0.107481352304599,0.498447706457291,0.111737627799356,0.501710104432723,0.111318222356746,0.501682258871613,0.00186864825298734,0.00158283871797025,0.00269461085795511,0.00210440191768196,0.00263439020305023,0.00183647007616554
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.4","0.1","0","0",0.109252401912649,0.498352751559052,0.107341180648344,0.499553034411317,0.106636959928872,0.503167589249924,0.00181021783266771,0.0015526577817428,0.00247798618839052,0.00229369674892378,0.00235108960791676,0.00224943890530429
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.5","0.1","0","0",0.109838767408883,0.499049777537625,0.112865210705786,0.49953084499528,0.110217879611381,0.499900397367256,0.0017030439171338,0.00140265068044597,0.00262199289562469,0.00213846202053062,0.00254997162956432,0.00230041076606601
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.6","0.1","0","0",0.107262367234092,0.498863195208597,0.106667762604423,0.49632775738152,0.107939469051807,0.502646075057901,0.00176208200546315,0.00129324648840188,0.00262859885845671,0.0021754858768336,0.00262539606792484,0.00182403513703387
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.7","0.1","0","0",0.107380018838694,0.499046308567416,0.110971921491822,0.496001914681895,0.108379364029517,0.497906270842701,0.00176180812811225,0.00141887120006866,0.00256890449276791,0.0021521990612619,0.00247572228005686,0.00184787214078637
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.8","0.1","0","0",0.110903185467464,0.499778108866642,0.107656801699975,0.499573301746335,0.103253197702227,0.502199432353218,0.00163666856552296,0.00155627191837109,0.00282750931632675,0.00198936909058374,0.00227578338721248,0.0019578360940798
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.9","0.1","0","0",0.106367101417715,0.497941586163488,0.111433884719662,0.49944695655152,0.107393555474561,0.499479840177755,0.00166199892896805,0.00139264354530214,0.00267882341656623,0.00208272652322896,0.00253436195552208,0.00225809287993824
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","1","0.1","0","0",0.108600716652203,0.498829035030915,0.107265658430064,0.495591059723662,0.111458933437456,0.498994200926156,0.00190252478139618,0.00144927397639211,0.00228877461338154,0.0022950895945419,0.00254699432093002,0.00188729288941134
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0","0.1","0","0",0.973333185473807,0.973998645382846,0.534686602100631,0.943302941254077,0.520109153713328,0.940410667215883,0.00148812022826926,0.0010469549227685,0.00825205665623286,0.0019790572266611,0.00883575022534341,0.00229943647766917
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.1","0.1","0","0",0.97679174793492,0.974926049224078,0.565304345051856,0.941282404033935,0.54529963450386,0.94204449145442,0.00130629071048651,0.00100126209767729,0.00885743487854773,0.00250954264122767,0.00959931079993342,0.00235103662629838
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.2","0.1","0","0",0.97286165029833,0.975775755814581,0.606298262252905,0.942733608481828,0.565856867356766,0.941125528951922,0.00147135499494218,0.00094906486712222,0.00719827338697954,0.00200337539889398,0.00833729865879168,0.00245295390706774
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.3","0.1","0","0",0.974948024103711,0.97640540239925,0.647769731049419,0.941464636533393,0.584088128148821,0.941420368861696,0.00156211912907057,0.00091948920313709,0.00903510550228768,0.00235134054275886,0.00827451509361212,0.00224866622705309
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.4","0.1","0","0",0.97224363303364,0.973635900959494,0.658480750978319,0.937379567292572,0.60416240410357,0.943304052745508,0.00130118237121154,0.00110748053847332,0.00783559975149868,0.00264026137513253,0.0080271835922632,0.00212299804103741
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.5","0.1","0","0",0.973055408013657,0.975525308950986,0.690841929465081,0.934504907967586,0.61784822700388,0.937228435872145,0.00167530201177107,0.00120280563044404,0.00727887516410349,0.00263671842887446,0.00894254261580263,0.00225474376231403
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.6","0.1","0","0",0.977081425878761,0.975931470979406,0.715691200115714,0.937162209784956,0.63323065348148,0.939883018089557,0.00131309974422149,0.000917944899447921,0.00630239122337554,0.00211121304855967,0.00736523487612136,0.00248288572403262
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.7","0.1","0","0",0.975885042740556,0.975474325916706,0.735844679290279,0.939118834297129,0.642673134282301,0.940775279203782,0.00170718300423394,0.00115280527039891,0.00683986709437497,0.0019392251284107,0.0075097198153824,0.00223163426266542
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.8","0.1","0","0",0.971697694230274,0.97535267808571,0.762122280898603,0.937845621217014,0.66049367820567,0.94112937561535,0.00157256054533711,0.000924455312293169,0.00633194346703689,0.0027607281597992,0.0062966140055535,0.00246346333964009
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.9","0.1","0","0",0.97412059064132,0.974319295060323,0.765990731444964,0.934461977611737,0.680137351647064,0.937776059631932,0.00167487645243109,0.00114906379660808,0.00524689711667065,0.00254782577688391,0.00627295799883064,0.00255473837218025
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","1","0.1","0","0",0.97591687704629,0.974316552160598,0.795943183406514,0.93676452547301,0.692576983246031,0.942578424121427,0.00145646020525153,0.00107201837760842,0.00672321807696593,0.00231239392431627,0.00639885514860451,0.00247053273207653
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0","0.1","0","0",0.975141815130492,0.975422622841703,0.578244408010935,0.947565170344888,0.564388867154943,0.943955406046912,0.00151097764323018,0.00124760464945005,0.00839274833379676,0.00228950011544136,0.00865011952227414,0.00238470593711322
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.1","0.1","0","0",0.975138763698271,0.976564266940581,0.604109398828325,0.94366869993221,0.584802332117352,0.944679585955398,0.00153909063706874,0.00105140631929135,0.00819909358676588,0.00223039937162542,0.00974285373770106,0.00236793411075323
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.2","0.1","0","0",0.975538243601333,0.974025833835708,0.649715254972249,0.945772980881138,0.606177429940821,0.945807482573072,0.00162138168885546,0.00124285841830705,0.00731985851105738,0.00230618871255747,0.00817711853321292,0.00206653539342809
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.3","0.1","0","0",0.973432322040255,0.975363782945723,0.692998944785214,0.946013978607542,0.626759170340752,0.94615608187824,0.00153938255823746,0.0011625100719104,0.00862412170139453,0.00218344415383103,0.00799421039917759,0.00207649005006918
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.1","0.4","0.1","0","0",0.973298356979822,0.975630098761867,0.699298381659411,0.944512718248663,0.642311920228534,0.944790348852954,0.0015185519034212,0.00115972491634434,0.00796089079024673,0.00238935514295693,0.00785558591160758,0.00217178810587638
