"year","demo.locals1","demo.locals2","demo.locals3","demo.tours1","demo.tours2","demo.tours3","num_locals","num_tours","knowtrans","tours_local","tours_tours","local_local","local_misd","dem1toursK_Mean","dem1localK_Mean","dem2toursK_Mean","dem2localK_Mean","dem3toursK_Mean","dem3localK_Mean","dem1toursK_SE","dem1localK_SE","dem2toursK_SE","dem2localK_SE","dem3toursK_SE","dem3localK_SE"
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0",0.111665277676357,0.498606882951442,0.109132747205247,0.502210701200072,0.108019047384757,0.50111257283488,0.00173076267839714,0.00143088009068775,0.00237267452042283,0.00195214358176627,0.00248598160478826,0.00197465793505386
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.1",0.107829726619008,0.49814176742435,0.112036686179695,0.498637000320415,0.10715008192117,0.502845174463049,0.00183797312907748,0.00140452846651422,0.00257059089696704,0.00193660154555705,0.00244628249630519,0.00187070652501763
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.2",0.107857312832004,0.498715101295121,0.110189837914814,0.499822263185463,0.107924384323441,0.499956910681919,0.00171454242095387,0.00154009462724752,0.00266728067917941,0.00204756897319457,0.0026161726517619,0.00159932881562512
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.3",0.107077307827036,0.500786263903811,0.10769578077131,0.500587897512189,0.109792524213043,0.498802833626093,0.00159085968496875,0.0014707987318693,0.00292483735535973,0.00185702983584327,0.00267188338805498,0.00198443840154101
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.4",0.107785900683418,0.500205314245349,0.105853604412124,0.502928447690158,0.108484296357065,0.500780186422406,0.00170118238862126,0.00139177343664362,0.00243919938448,0.00221595348546316,0.00257033545176524,0.0019232010478393
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.5",0.108671647703896,0.503071875789345,0.107760950298386,0.501935864911845,0.109588899433378,0.501170042057426,0.00175572554797139,0.00143333449135052,0.00242282332640053,0.00200809867326027,0.00258529555372655,0.00191451930046599
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0",0.88819538575424,0.988634251897158,0.878814136327071,0.9882617476919,0.878781342117986,0.988375553028735,0.0029535113185673,0.000531953647881334,0.0047531537731658,0.00078398073483047,0.00478796127584898,0.000833543947289446
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.1",0.881980498671477,0.988738440605211,0.883182420043226,0.98902016569102,0.87864201516845,0.987843236584954,0.00339465320617665,0.000516326589707596,0.00433048742761155,0.000687112982323225,0.00439528783021398,0.000677259470146652
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.2",0.881592502382381,0.989433834819058,0.877155336747152,0.987683779163343,0.8787479226187,0.988263808318317,0.00354227681592354,0.000457678230322666,0.0049287522849122,0.000823720027866978,0.00482703239395414,0.000768516218275307
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.3",0.88160983416977,0.98842428309887,0.88235628390043,0.988049250259158,0.877794158233959,0.988854401559428,0.00359883523326932,0.000504119956411812,0.00438432403435902,0.000728259269553899,0.00494947007969924,0.000581022708354911
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.4",0.88270585281541,0.98840177316203,0.889126752395173,0.988417277982817,0.879666464260451,0.989167268293131,0.00319722987984313,0.000530947881398779,0.00506091449246821,0.000762382026807842,0.00428006002845542,0.000663558367391949
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.5",0.881451576490869,0.989326098833274,0.87662333644651,0.988479398114536,0.882529057023762,0.989681033182247,0.00340149208938194,0.000520354226589728,0.00480582889590503,0.000686497739738741,0.00500926727705935,0.000731658146822932
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0",0.921909215440313,0.988995496365333,0.915462497158353,0.987651239202638,0.914557402651789,0.987994475515682,0.00260942977979469,0.000491721646915945,0.00404472479656608,0.000776249220617056,0.00405541194829301,0.00069644879207817
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.1",0.915204749122666,0.98941663817887,0.918770557810995,0.989140456683759,0.915406348819692,0.987481802263492,0.0029800950137748,0.0005170077506223,0.00362978584742503,0.000676782561862164,0.00376523180363013,0.000828082497788321
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.05","0","0","0.2",0.914954083974482,0.988110359840126,0.915800697290125,0.988843218805346,0.913798822985362,0.98867303958923,0.00296306266347295,0.000556893900344013,0.00429434938526213,0.00065391370358621,0.00420363263714224,0.000725783056233839
