"year","demo.locals1","demo.locals2","demo.locals3","demo.tours1","demo.tours2","demo.tours3","num_locals","num_tours","knowtrans","tours_local","tours_tours","local_local","local_misd","dem1toursK_Mean","dem1localK_Mean","dem2toursK_Mean","dem2localK_Mean","dem3toursK_Mean","dem3localK_Mean","dem1toursK_SE","dem1localK_SE","dem2toursK_SE","dem2localK_SE","dem3toursK_SE","dem3localK_SE"
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.10958658396983,0.498191368290207,0.110305699743652,0.499094352701445,0.107431884611277,0.498230602661074,0.00190139249548006,0.0013931611891253,0.0024783872128759,0.00219947583062114,0.00268234458894368,0.00200488107910295
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.108181557835645,0.49906326209141,0.108897715451739,0.502906625808964,0.104172405627637,0.500302594139591,0.00172209595776417,0.00161586224427889,0.00259010947024974,0.00202799913425409,0.00242891402504153,0.00204614575662089
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.107252150948743,0.5024166900204,0.10830354911565,0.499655247465652,0.104449810915169,0.501148834666772,0.00177718586634731,0.00133554200392372,0.00265598745526811,0.00200026900197044,0.00204724922057627,0.00226140614953461
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.106037922920794,0.499759766177868,0.106887972769448,0.498979989551213,0.10493702654314,0.502097041022035,0.00155786143738417,0.00133518702173294,0.00273694276980271,0.00198631269398563,0.00214645089965272,0.00197182238420881
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.108701386794324,0.501181739918954,0.108539757133607,0.498419365635157,0.104732477308753,0.498896315261036,0.00194381787092152,0.00141975919845927,0.0023006050570317,0.00156507684672223,0.00234159570203481,0.00209218226808667
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.110986666862455,0.501211514288742,0.108256008071657,0.4984466485529,0.105201477595328,0.49806502478363,0.00155843569236806,0.00143453962920883,0.00272972390093347,0.00225548698395547,0.00238845642748843,0.00213083302317441
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.6","0","0","0",0.109094260711406,0.50101285580388,0.108225939007377,0.502250209279732,0.111326110854151,0.500977663796541,0.00165744093269898,0.00151030261715912,0.00241902410218601,0.0019823162273465,0.00265913987958718,0.00198025955508966
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.7","0","0","0",0.107739521415443,0.499968033077055,0.107009032335151,0.496388874926457,0.111014976098971,0.502214549530181,0.00169463840305427,0.00124436006019585,0.00258634887785016,0.00173825614218074,0.00276555731032572,0.00222491322869264
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.8","0","0","0",0.109647538460781,0.499132583373165,0.105638886388363,0.498132596446274,0.111062134289974,0.502461620039092,0.00179198284415659,0.00134282453054518,0.0025643274965269,0.00207040530134028,0.00252643955006493,0.00218546564901332
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.9","0","0","0",0.112469748207793,0.5014342576201,0.103761654246829,0.499568833872082,0.109223880553185,0.500084064828915,0.00185480419402491,0.00130339386367609,0.00232323182936924,0.00175252993240935,0.00264925369735002,0.00224509047788992
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","1","0","0","0",0.10882387114088,0.50065280292606,0.11207699683802,0.501300014463691,0.106582345885961,0.498927644412931,0.00166857075761838,0.00127890307596779,0.00265425835762077,0.0016723217191437,0.00257421800215758,0.00188201481669736
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.99186572954831,0.9904503964188,0.991997057156743,0.990144928229516,0.990977673224441,0.989282274007903,0.000700121921846694,0.000484433555696087,0.000936509183200121,0.000838511519830358,0.00102498818185033,0.000739702284255278
