"year","demo.locals1","demo.locals2","demo.locals3","demo.tours1","demo.tours2","demo.tours3","num_locals","num_tours","knowtrans","tours_local","tours_tours","local_local","local_misd","dem1toursK_Mean","dem1localK_Mean","dem2toursK_Mean","dem2localK_Mean","dem3toursK_Mean","dem3localK_Mean","dem1toursK_SE","dem1localK_SE","dem2toursK_SE","dem2localK_SE","dem3toursK_SE","dem3localK_SE"
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.109025404189114,0.498018979203858,0.106465756690608,0.50415134017213,0.106590653133388,0.500723136396708,0.00171621097299534,0.00144556742928894,0.00308031204750189,0.0019275821900005,0.0026942050001221,0.00208353580740721
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.109590711853721,0.50087861428578,0.109987886698247,0.501105775525937,0.105191959651249,0.499903170534093,0.001839099173646,0.00144018698806031,0.00273699076310007,0.00190401635119264,0.00213642225607825,0.00208342772398729
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.111162371464444,0.499890472417396,0.111321620629031,0.50017365124171,0.108030432489291,0.497614075189311,0.00176074458467045,0.00131412607483897,0.00247698749329206,0.00196436205106318,0.00281151494424728,0.00191520417005355
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.107146930918467,0.499290483625872,0.105634520656657,0.503815395353944,0.105818467629428,0.49913550792155,0.00174936585230404,0.00148612310033297,0.00276417553125314,0.00195193462934285,0.00259467872918259,0.00187651541428156
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.10660620259232,0.499615143123809,0.111662474010804,0.501254737496872,0.110391626039904,0.498917251733014,0.0017323064414576,0.00146947635966602,0.00258240857151094,0.00202495296124792,0.00244317193045419,0.00204257134062605
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.10714446860988,0.500039039596083,0.107530353845579,0.495849730651712,0.107049270359472,0.499142251904431,0.00150400950351084,0.00138871513981779,0.00237510320847091,0.0020573952907289,0.00271084699802104,0.00170009247289417
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.6","0","0","0",0.107697090534523,0.50245060761164,0.10763520192627,0.499491712409668,0.108420679222828,0.500869765825505,0.00165858952192824,0.00137726074946128,0.00229993194971271,0.00204735297537271,0.00255580348386522,0.00176619652477474
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.7","0","0","0",0.106797227042541,0.499654779142797,0.105491926152337,0.501145655721948,0.104061999056741,0.49985368442215,0.00183087660374785,0.00148203938795903,0.00270457095382248,0.00203923798371113,0.00255051715352564,0.0018762756939116
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.8","0","0","0",0.107569981631699,0.498811826380281,0.106235029145733,0.495118168597391,0.112854357105973,0.500546135198708,0.0017352429857637,0.00136738827290265,0.00231598443673044,0.00191657383041749,0.00230876337434731,0.00224475846750987
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.9","0","0","0",0.108747424985414,0.49865482051948,0.107487145194874,0.496811392618765,0.109291147769832,0.501029572640024,0.00156539118777114,0.00142882945356915,0.00249547173848586,0.00187580943083573,0.00258991277039867,0.00197098926559181
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","1","0","0","0",0.106758755721881,0.500843510228547,0.106741449305969,0.49966275364547,0.105979451598311,0.496886631399992,0.00171573418080904,0.00137385462168453,0.00266945179598514,0.00222453471174282,0.00248152539531925,0.00217053445792135
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.0757910390900105,0.790049197909667,0.0725546435469195,0.796619257877158,0.0734797208173253,0.794745951651148,0.00162702837750735,0.00328458832458953,0.00288040398150578,0.00430772964835764,0.00268235782972191,0.0044306552576579
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.099716025467928,0.782755499688373,0.0990272798775124,0.790726726957455,0.0849270531953625,0.79438737138942,0.00179217100379157,0.00308462852244592,0.00286691171507682,0.00458516619480322,0.00249642863842956,0.00398824930819788
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.118163251774329,0.781085554051592,0.119880783797093,0.77976782445671,0.100422034203545,0.787663393016322,0.00187127335927598,0.00283851354652933,0.00258930171493744,0.00494783285509893,0.00304197459135596,0.00431410452989604
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.136081443879316,0.773848630713595,0.1357851723456,0.772967869293562,0.106357787714364,0.783204645669974,0.00214804194298206,0.00315399564572883,0.00300399167180454,0.0043780586521691,0.002659269795954,0.00505008159190828
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.155972589661122,0.765383225594203,0.158514620058932,0.76943003150983,0.117181611944431,0.771585913638931,0.00182713709488862,0.00291481109443981,0.00292117981966449,0.0044595509799005,0.00242606262873536,0.00488506190474512
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.173438290617776,0.763874029881042,0.173632602609015,0.76849861271064,0.127730617502717,0.779116569293247,0.00193317511266073,0.00339783018326124,0.00280486197079353,0.00494349377300835,0.00257120559769097,0.00463090373457231
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.6","0","0","0",0.190858889731655,0.761596753578005,0.184994725868688,0.752532752197331,0.135721023678972,0.772970210274814,0.00167807142072535,0.00323254082951071,0.00301707739903457,0.00520947079940674,0.0027614425931429,0.00452147904111983
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.7","0","0","0",0.207230872894504,0.757033185127261,0.207768573352094,0.7598971169069,0.145679280726704,0.776888890018355,0.00195357721339192,0.00326293114872821,0.00284609679189605,0.00474903057916414,0.00282127503629106,0.00494632494783332
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.8","0","0","0",0.223403873460008,0.745789392639239,0.220474142987757,0.741528733486636,0.155071527518545,0.771813004127448,0.00196546095056926,0.00332521879509425,0.00253975670092365,0.00544182325605766,0.00276238295016149,0.00492568087636293
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.9","0","0","0",0.237288073133274,0.740072777419029,0.240634375964774,0.733906311918791,0.165684557626131,0.770160173425853,0.0018243163973545,0.00364677638324943,0.00258634620963126,0.00522090443775535,0.00276432647688148,0.00417403993090437
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","1","0","0","0",0.253620211295678,0.734925024374018,0.252267528703227,0.747191598464911,0.171556519106584,0.758276110570934,0.0022219047733801,0.00360763264168886,0.00344996344387583,0.00453374778546913,0.00253404770610377,0.00458683737593249
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.0725829588537989,0.805541489052013,0.0699206800441191,0.81165718285132,0.0699174740190021,0.812144792619451,0.00162669156379268,0.0031569328043667,0.00276714813540633,0.00424866191032328,0.00264807460324349,0.00437888039525723
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.100193350508211,0.799730923568875,0.0983862246752805,0.806009499404735,0.0836126529961693,0.812135749174445,0.00184783288486854,0.00307356236672496,0.00282689433255842,0.00455474163275723,0.00242353187647578,0.00400285879829396
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.120369252258401,0.797613491064579,0.122301838909448,0.792912494433535,0.0982556287950278,0.807126047127221,0.0019639433186187,0.00255203352912519,0.00258307770288988,0.00492172777904001,0.00293667852792632,0.00424925153632377
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.139936734639299,0.790022286080534,0.139483779221902,0.788802929606338,0.105781201844901,0.800062862599972,0.00205373528241724,0.00318901824489379,0.00297978512570766,0.00399486578788512,0.00244526370298904,0.00492645024040292
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.162801553416309,0.781988018005461,0.164171594228373,0.786356553441953,0.118850243917165,0.786610501301936,0.00181663826065952,0.00298851608701069,0.00290099730520197,0.0043261626797503,0.00233603501766888,0.00511759446492935
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.181274077920934,0.779824275217994,0.182350101091952,0.784241405759342,0.128960109188455,0.794052854227364,0.00203869441842136,0.00332658061914564,0.00285993576642921,0.00464307206143513,0.00271753625014805,0.0042678756686331
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.6","0","0","0",0.20130438923488,0.776992433694657,0.196670008274301,0.770280707047367,0.139355745825134,0.792167088770083,0.00170217595793237,0.00309756514917146,0.0030635775677889,0.00506054285467545,0.00268840340347113,0.00449863435407211
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.7","0","0","0",0.219593985011013,0.77153536739725,0.222013066992018,0.774282949978938,0.151659219337498,0.792574640783829,0.00194037248286482,0.00344847317274295,0.00282208845410295,0.0045038993200732,0.00292807154603003,0.00490377914720731
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.8","0","0","0",0.237203041389977,0.75947289598165,0.23420574441093,0.756808753685015,0.161896663372509,0.788311207854859,0.0019705226434298,0.00325389304857533,0.00265322731744951,0.0052647546701857,0.00262303854917342,0.00498942949446649
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.9","0","0","0",0.253092830142637,0.753925926360564,0.257390868694706,0.749277213446186,0.174480176350703,0.786060998747397,0.00189733944572115,0.00392134936664314,0.00263166754467971,0.00514123762050473,0.00263503090979026,0.00430361337619392
"11","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","1","0","0","0",0.270377230367851,0.752301807105678,0.270485006608293,0.76031418417084,0.182234495156152,0.772977700661113,0.00222921760859372,0.00355704820529756,0.00369017487237825,0.0045099509248556,0.00280647540640694,0.00445923581109603
"12","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.0692590410196997,0.818996374135521,0.0666497718420383,0.824688295922478,0.0672215308688552,0.825780407713913,0.00160506987553356,0.00320762982791153,0.00274453014507851,0.00420640959890385,0.00260733839782118,0.00401683990165589
"12","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.0988294569131566,0.8168975255446,0.0990731771542105,0.81991262420179,0.0820589778697911,0.825458771652385,0.00183128441771737,0.00290904128713353,0.00275043140499279,0.00453607336476627,0.0024924410399484,0.00412973329610978
"12","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.12227993022441,0.810870988488234,0.123812867255628,0.809215170817364,0.0981613719209625,0.819743054291861,0.0019940361546637,0.00253605546600789,0.00274090530925522,0.00465813584496267,0.00309175016644469,0.00415003420255527
"12","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.144231316124906,0.805324087051105,0.145389794692051,0.80171903434309,0.106132985145498,0.8119285916861,0.00205995981349522,0.00308420865743016,0.00315669172704884,0.00384333200897287,0.00248990017446648,0.00480655229598497
"12","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.169224164571092,0.797187633175236,0.171656107733651,0.797651022476493,0.120540566011448,0.804464322867739,0.00189814749315442,0.00300876969807942,0.00304621522897967,0.00428295144719341,0.00245385383277297,0.00488812549272909
