"year","demo.locals1","demo.locals2","demo.locals3","demo.tours1","demo.tours2","demo.tours3","num_locals","num_tours","knowtrans","tours_local","tours_tours","local_local","local_misd","dem1toursK_Mean","dem1localK_Mean","dem2toursK_Mean","dem2localK_Mean","dem3toursK_Mean","dem3localK_Mean","dem1toursK_SE","dem1localK_SE","dem2toursK_SE","dem2localK_SE","dem3toursK_SE","dem3localK_SE"
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.108896804181711,0.498661538105278,0.11233932353993,0.501825061349661,0.109589769525287,0.498944405595352,0.00176808812449986,0.00147405221996229,0.00260660665756418,0.00194405090261388,0.00288028685429363,0.00219429069697899
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.109215821397214,0.500220406432461,0.107718130355275,0.503126309725441,0.105436450589922,0.495469889891576,0.00182955932278377,0.00137027641479387,0.00260629576577927,0.00171742464013998,0.00276045459061762,0.00195099434313462
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.105496115412156,0.497992918408666,0.110065760565149,0.495425781983254,0.10987488454066,0.499398445572233,0.00169756743015124,0.00154323437774095,0.00243678066786924,0.0017909862986382,0.00244989820268321,0.00201543368867629
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.10717438775191,0.502520433684788,0.107264457615393,0.499869044355409,0.110727595543643,0.500414158879268,0.00176590102759672,0.0013822662867737,0.00218710854916019,0.00220703217324923,0.00242432879721236,0.00200816985401809
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.1089030652839,0.499439063093243,0.105117842429843,0.501420143804092,0.105513890887371,0.50179067774187,0.00157783924286765,0.00149869866570718,0.00268899986466878,0.00178168218060887,0.00254178318411064,0.00164387526249734
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.110790496296849,0.499704032902573,0.105989196676269,0.503896550864358,0.108016182770589,0.498180583353185,0.00171714329961011,0.00140973095537715,0.0025124030090444,0.00173167235785995,0.00249213285799548,0.00215716719980912
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.6","0","0","0",0.108554432381077,0.50076252699911,0.108491714185715,0.502457230494879,0.111374982014746,0.503612531543784,0.00169603608915795,0.00139132234317567,0.00284417528344384,0.0020736531846736,0.00258377207818026,0.00178120752763382
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.7","0","0","0",0.107097396289252,0.502192990481432,0.106876525731325,0.501659388490937,0.106572021322222,0.499042783798751,0.00159912091542615,0.00124206281231651,0.0024260680070005,0.00223067907873883,0.00263256519560728,0.00197314800422139
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.8","0","0","0",0.106008557994503,0.498989700039007,0.107414494407846,0.50247024871988,0.105620337770376,0.500596861949457,0.00188914174957271,0.00135793000391055,0.00275030762086131,0.00216121848888382,0.00275684629458147,0.00193183295296823
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.9","0","0","0",0.10692638860384,0.500890225373086,0.106449652942898,0.500495646819557,0.113717523565352,0.497029850111369,0.00196715765884197,0.00147420484603458,0.00272726949835523,0.00220155471391006,0.00259460936359623,0.0021042310147739
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","1","0","0","0",0.107133315513139,0.498759331765174,0.106834762557735,0.4977134637629,0.111446557876634,0.498609471228237,0.00165808773879546,0.00131895883062223,0.0024475908859107,0.00198980256583839,0.00245920480863579,0.00200912101711525
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.525296448063035,0.791201212664736,0.521611668440193,0.79173125426808,0.515971198498251,0.783453915284869,0.00553022888727404,0.0032114796041011,0.00695719224244175,0.00429410050143969,0.0081659619226744,0.00448727874368075
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.534758689392201,0.788784590229888,0.522774163929327,0.790213109200328,0.516062422040458,0.780869105338233,0.00551103705811453,0.00285514113202505,0.00748837288900219,0.00395792679656173,0.00739713834453416,0.00546181769987992
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.53492390980469,0.779903964406115,0.539550019160639,0.782350376376314,0.526571690413583,0.791681730841242,0.00589460750379754,0.00309324249166776,0.00714531501618714,0.00489607393221565,0.00763267193824142,0.00405614168453427
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.558007392523448,0.784354828592397,0.566575118457974,0.779093944571247,0.54669066862185,0.792437660650293,0.00563813317167501,0.00342071363606847,0.00783870202523729,0.00491129045783612,0.00718596882933794,0.00500748655028127
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.568484956040089,0.77874780464507,0.560910668925407,0.777989489414706,0.53731786503041,0.783198926248475,0.00520844857026397,0.00325102946509713,0.00703831012132654,0.004657260302475,0.00710443924440376,0.0049490343384639
