"year","demo.locals1","demo.locals2","demo.locals3","demo.tours1","demo.tours2","demo.tours3","num_locals","num_tours","knowtrans","tours_local","tours_tours","local_local","local_misd","dem1toursK_Mean","dem1localK_Mean","dem2toursK_Mean","dem2localK_Mean","dem3toursK_Mean","dem3localK_Mean","dem1toursK_SE","dem1localK_SE","dem2toursK_SE","dem2localK_SE","dem3toursK_SE","dem3localK_SE"
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0","0","0","0",0.109844943652133,0.499820137940714,0.109191275898943,0.497416073637547,0.104306534821389,0.497333986409309,0.00171738105232996,0.00138445524601221,0.00244409365934471,0.00197165587418199,0.00221374778796578,0.00206231386554506
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.1","0","0","0",0.106489819907141,0.501801843559028,0.107945874673696,0.500759572400679,0.111539148279991,0.50077337153116,0.00167053530863989,0.00143509304547522,0.00240723137158293,0.00184783805750842,0.00213953398504423,0.00215635353139125
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.2","0","0","0",0.108499037279057,0.499856992968214,0.105795030197117,0.505368260182946,0.107060017650367,0.500018876304812,0.00191763975561134,0.00131892632643358,0.00254859139481933,0.00189110687860826,0.0025555023123641,0.00184325546317983
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.3","0","0","0",0.105341437907832,0.499137343678938,0.112052895095307,0.499884863798238,0.110576315154064,0.500813936063158,0.00182352994323942,0.00149254243970818,0.00271411214904484,0.00205836419679764,0.00254818920308572,0.00219500617132007
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.4","0","0","0",0.108545147814891,0.498939804269299,0.105389505255282,0.499484184871575,0.105181648313456,0.499800411563993,0.00174129649401948,0.00127017011610924,0.0025379365841338,0.00192521428284199,0.0025678080551426,0.00205994849329546
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.109468851942311,0.500162893337991,0.106809082005001,0.498810963374808,0.112860800166026,0.498693332849325,0.00175170981841143,0.00136666233187692,0.00218314993138384,0.00202874478790817,0.00252784585953346,0.00195451817089203
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.6","0","0","0",0.109549096193393,0.501944715513537,0.105707977872821,0.499612019168817,0.111582567183049,0.49741887821422,0.00164665761560128,0.00148707001969651,0.00253486715818605,0.00180520199093832,0.00247967202864345,0.00195984047538101
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.7","0","0","0",0.10689213426175,0.499555896936054,0.112511225378574,0.500977922052771,0.107727536733889,0.498826975021869,0.00178877139141297,0.00155703208774303,0.00275850336510951,0.00192156432371933,0.00269128623997399,0.00202490423445341
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.8","0","0","0",0.110765709622799,0.501096455661546,0.107524800113405,0.502798306376228,0.106368579573863,0.495288177745869,0.00169436464824042,0.00133749840868744,0.00261106372491027,0.00200188120141693,0.00257146665894708,0.00213896762430641
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.9","0","0","0",0.107101988047398,0.502595053415843,0.108724103255785,0.501110902957067,0.107542428534864,0.500508716963453,0.00147357608217729,0.001508693951764,0.00254413495808219,0.00206414943489394,0.00282229028502141,0.00204101912249675
